date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:53	12521/12521	---M--	200	added ('OK')	text/html	etag:W/%2230e9-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_button_logout.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_button_logout.js.html	(from http://192.168.0.251:7001/classes/iLogout.html)
18:14:54	12567/12567	---M--	200	added ('OK')	text/html	etag:W/%223117-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_lang_lang.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_lang_lang.js.html	(from http://192.168.0.251:7001/classes/iLang.html)
18:14:54	12867/12867	---M--	200	added ('OK')	text/html	etag:W/%223243-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_domselect.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_domselect.js.html	(from http://192.168.0.251:7001/classes/iDomSelect.html)
18:14:55	14829/14829	---M--	200	added ('OK')	text/html	etag:W/%2239ed-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_drag.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_drag.js.html	(from http://192.168.0.251:7001/classes/iDrag.html)
18:14:55	18629/18629	---M--	200	added ('OK')	text/html	etag:W/%2248c5-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_logo.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_logo.js.html	(from http://192.168.0.251:7001/classes/iLogo.html)
18:14:56	14398/14398	---M--	200	added ('OK')	text/html	etag:W/%22383e-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_resize.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_resize.js.html	(from http://192.168.0.251:7001/classes/iResize.html)
18:14:57	14219/14219	---M--	200	added ('OK')	text/html	etag:W/%22378b-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_scroll.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_scroll.js.html	(from http://192.168.0.251:7001/classes/iScroll.html)
18:14:57	14688/14688	---M--	200	added ('OK')	text/html	etag:W/%223960-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_layout_scroll2.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_layout_scroll2.js.html	(from http://192.168.0.251:7001/classes/iScroll2.html)
18:14:58	34843/34843	---M--	200	added ('OK')	text/html	etag:W/%22881b-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_server_ajax.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_server_ajax.js.html	(from http://192.168.0.251:7001/classes/iAjax.html)
18:14:59	21892/21892	---M--	200	added ('OK')	text/html	etag:W/%225584-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_server_socket.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_server_socket.js.html	(from http://192.168.0.251:7001/classes/iSocket.html)
18:15:00	13413/13413	---M--	200	added ('OK')	text/html	etag:W/%223465-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_config.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_config.js.html	(from http://192.168.0.251:7001/classes/iConfig.html)
18:15:00	22532/22532	---M--	200	added ('OK')	text/html	etag:W/%225804-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_confirm.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_confirm.js.html	(from http://192.168.0.251:7001/classes/iConfirm.html)
18:15:01	13601/13601	---M--	200	added ('OK')	text/html	etag:W/%223521-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_getlang.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_getlang.js.html	(from http://192.168.0.251:7001/classes/iGetLang.html)
18:15:02	19974/19974	---M--	200	added ('OK')	text/html	etag:W/%224e06-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_message.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_message.js.html	(from http://192.168.0.251:7001/classes/iMessage.html)
18:15:02	14195/14195	---M--	200	added ('OK')	text/html	etag:W/%223773-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_timenow.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_timenow.js.html	(from http://192.168.0.251:7001/classes/iTimeNow.html)
18:15:03	13388/13388	---M--	200	added ('OK')	text/html	etag:W/%22344c-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_services_util_token.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_services_util_token.js.html	(from http://192.168.0.251:7001/classes/iToken.html)
18:15:04	13377/13377	---M--	200	added ('OK')	text/html	etag:W/%223441-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.safe_webapp_js_directives_safePicker.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.safe_webapp_js_directives_safePicker.js.html	(from http://192.168.0.251:7001/classes/safePicker.html)
18:15:04	31637/31637	---M--	200	added ('OK')	text/html	etag:W/%227b95-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.master_webapp_js_services_masterNavbar.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.master_webapp_js_services_masterNavbar.js.html	(from http://192.168.0.251:7001/classes/safePicker.html)
18:15:06	16922/16922	---M--	200	added ('OK')	text/html	etag:W/%22421a-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.master_webapp_js_services_masterLoadCharts.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.master_webapp_js_services_masterLoadCharts.js.html	(from http://192.168.0.251:7001/classes/safePicker.html)
18:15:06	19196/19196	---M--	200	added ('OK')	text/html	etag:W/%224afc-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.safe_webapp_js_directives_safeTree.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.safe_webapp_js_directives_safeTree.js.html	(from http://192.168.0.251:7001/classes/safeTree.html)
18:15:07	78224/78224	---M--	200	added ('OK')	text/html	etag:W/%2213190-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.safe_webapp_js_services_safeCamera.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.safe_webapp_js_services_safeCamera.js.html	(from http://192.168.0.251:7001/classes/safeCamera.create.html)
18:15:09	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22a140-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css)
18:15:09	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224f6f-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot?	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css)
18:15:09	93436/93436	---M--	200	added ('OK')	application/javascript	etag:W/%2216cfc-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/jquery/jquery-1.8.2.min.js	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/jquery/jquery-1.8.2.min.js	(from http://192.168.0.251:7001/)
